Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
15/12/2023 02:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 02:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 03:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 03:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 04:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 04:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 05:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 05:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 06:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 06:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 07:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 07:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 08:00,10603,60,1,Southbound,1,SouthWest,1,Checked
15/12/2023 08:00,10603,60,2,Northbound,2,NorthEast,2,Checked
15/12/2023 09:00,10603,60,1,Southbound,1,SouthWest,2,Checked
15/12/2023 09:00,10603,60,2,Northbound,2,NorthEast,2,Checked
15/12/2023 10:00,10603,60,1,Southbound,1,SouthWest,2,Checked
15/12/2023 10:00,10603,60,2,Northbound,2,NorthEast,1,Checked
15/12/2023 11:00,10603,60,1,Southbound,1,SouthWest,1,Checked
15/12/2023 11:00,10603,60,2,Northbound,2,NorthEast,3,Checked
15/12/2023 12:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 12:00,10603,60,2,Northbound,2,NorthEast,1,Checked
15/12/2023 13:00,10603,60,1,Southbound,1,SouthWest,2,Checked
15/12/2023 13:00,10603,60,2,Northbound,2,NorthEast,5,Checked
15/12/2023 14:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 14:00,10603,60,2,Northbound,2,NorthEast,2,Checked
15/12/2023 15:00,10603,60,1,Southbound,1,SouthWest,3,Checked
15/12/2023 15:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 16:00,10603,60,1,Southbound,1,SouthWest,1,Checked
15/12/2023 16:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 17:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 17:00,10603,60,2,Northbound,2,NorthEast,1,Checked
15/12/2023 18:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 18:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 19:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 19:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 20:00,10603,60,1,Southbound,1,SouthWest,2,Checked
15/12/2023 20:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 21:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 21:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 22:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 22:00,10603,60,2,Northbound,2,NorthEast,0,Checked
15/12/2023 23:00,10603,60,1,Southbound,1,SouthWest,0,Checked
15/12/2023 23:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 00:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 00:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 01:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 01:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 02:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 02:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 03:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 03:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 04:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 04:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 05:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 05:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 06:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 06:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 07:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 07:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 08:00,10603,60,1,Southbound,1,SouthWest,1,Checked
16/12/2023 08:00,10603,60,2,Northbound,2,NorthEast,4,Checked
16/12/2023 09:00,10603,60,1,Southbound,1,SouthWest,2,Checked
16/12/2023 09:00,10603,60,2,Northbound,2,NorthEast,3,Checked
16/12/2023 10:00,10603,60,1,Southbound,1,SouthWest,1,Checked
16/12/2023 10:00,10603,60,2,Northbound,2,NorthEast,1,Checked
16/12/2023 11:00,10603,60,1,Southbound,1,SouthWest,9,Checked
16/12/2023 11:00,10603,60,2,Northbound,2,NorthEast,8,Checked
16/12/2023 12:00,10603,60,1,Southbound,1,SouthWest,4,Checked
16/12/2023 12:00,10603,60,2,Northbound,2,NorthEast,1,Checked
16/12/2023 13:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 13:00,10603,60,2,Northbound,2,NorthEast,3,Checked
16/12/2023 14:00,10603,60,1,Southbound,1,SouthWest,1,Checked
16/12/2023 14:00,10603,60,2,Northbound,2,NorthEast,2,Checked
16/12/2023 15:00,10603,60,1,Southbound,1,SouthWest,1,Checked
16/12/2023 15:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 16:00,10603,60,1,Southbound,1,SouthWest,5,Checked
16/12/2023 16:00,10603,60,2,Northbound,2,NorthEast,2,Checked
16/12/2023 17:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 17:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 18:00,10603,60,1,Southbound,1,SouthWest,1,Checked
16/12/2023 18:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 19:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 19:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 20:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 20:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 21:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 21:00,10603,60,2,Northbound,2,NorthEast,0,Checked
16/12/2023 22:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 22:00,10603,60,2,Northbound,2,NorthEast,1,Checked
16/12/2023 23:00,10603,60,1,Southbound,1,SouthWest,0,Checked
16/12/2023 23:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 00:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 00:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 01:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 01:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 02:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 02:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 03:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 03:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 04:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 04:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 05:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 05:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 06:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 06:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 07:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 07:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 08:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 08:00,10603,60,2,Northbound,2,NorthEast,2,Checked
17/12/2023 09:00,10603,60,1,Southbound,1,SouthWest,5,Checked
17/12/2023 09:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 10:00,10603,60,1,Southbound,1,SouthWest,6,Checked
17/12/2023 10:00,10603,60,2,Northbound,2,NorthEast,3,Checked
17/12/2023 11:00,10603,60,1,Southbound,1,SouthWest,1,Checked
17/12/2023 11:00,10603,60,2,Northbound,2,NorthEast,6,Checked
17/12/2023 12:00,10603,60,1,Southbound,1,SouthWest,1,Checked
17/12/2023 12:00,10603,60,2,Northbound,2,NorthEast,8,Checked
17/12/2023 13:00,10603,60,1,Southbound,1,SouthWest,3,Checked
17/12/2023 13:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 14:00,10603,60,1,Southbound,1,SouthWest,3,Checked
17/12/2023 14:00,10603,60,2,Northbound,2,NorthEast,6,Checked
17/12/2023 15:00,10603,60,1,Southbound,1,SouthWest,3,Checked
17/12/2023 15:00,10603,60,2,Northbound,2,NorthEast,1,Checked
17/12/2023 16:00,10603,60,1,Southbound,1,SouthWest,2,Checked
17/12/2023 16:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 17:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 17:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 18:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 18:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 19:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 19:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 20:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 20:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 21:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 21:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 22:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 22:00,10603,60,2,Northbound,2,NorthEast,0,Checked
17/12/2023 23:00,10603,60,1,Southbound,1,SouthWest,0,Checked
17/12/2023 23:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 00:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 00:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 01:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 01:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 02:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 02:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 03:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 03:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 04:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 04:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 05:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 05:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 06:00,10603,60,1,Southbound,1,SouthWest,1,Checked
18/12/2023 06:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 07:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 07:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 08:00,10603,60,1,Southbound,1,SouthWest,1,Checked
18/12/2023 08:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 09:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 09:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 10:00,10603,60,1,Southbound,1,SouthWest,3,Checked
18/12/2023 10:00,10603,60,2,Northbound,2,NorthEast,1,Checked
18/12/2023 11:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 11:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 12:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 12:00,10603,60,2,Northbound,2,NorthEast,1,Checked
18/12/2023 13:00,10603,60,1,Southbound,1,SouthWest,4,Checked
18/12/2023 13:00,10603,60,2,Northbound,2,NorthEast,2,Checked
18/12/2023 14:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 14:00,10603,60,2,Northbound,2,NorthEast,2,Checked
18/12/2023 15:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 15:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 16:00,10603,60,1,Southbound,1,SouthWest,1,Checked
18/12/2023 16:00,10603,60,2,Northbound,2,NorthEast,3,Checked
18/12/2023 17:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 17:00,10603,60,2,Northbound,2,NorthEast,1,Checked
18/12/2023 18:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 18:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 19:00,10603,60,1,Southbound,1,SouthWest,1,Checked
18/12/2023 19:00,10603,60,2,Northbound,2,NorthEast,1,Checked
18/12/2023 20:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 20:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 21:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 21:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 22:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 22:00,10603,60,2,Northbound,2,NorthEast,0,Checked
18/12/2023 23:00,10603,60,1,Southbound,1,SouthWest,0,Checked
18/12/2023 23:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 00:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 00:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 01:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 01:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 02:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 02:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 03:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 03:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 04:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 04:00,10603,60,2,Northbound,2,NorthEast,1,Checked
19/12/2023 05:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 05:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 06:00,10603,60,1,Southbound,1,SouthWest,1,Checked
19/12/2023 06:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 07:00,10603,60,1,Southbound,1,SouthWest,1,Checked
19/12/2023 07:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 08:00,10603,60,1,Southbound,1,SouthWest,1,Checked
19/12/2023 08:00,10603,60,2,Northbound,2,NorthEast,1,Checked
19/12/2023 09:00,10603,60,1,Southbound,1,SouthWest,2,Checked
19/12/2023 09:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 10:00,10603,60,1,Southbound,1,SouthWest,4,Checked
19/12/2023 10:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 11:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 11:00,10603,60,2,Northbound,2,NorthEast,5,Checked
19/12/2023 12:00,10603,60,1,Southbound,1,SouthWest,3,Checked
19/12/2023 12:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 13:00,10603,60,1,Southbound,1,SouthWest,1,Checked
19/12/2023 13:00,10603,60,2,Northbound,2,NorthEast,2,Checked
19/12/2023 14:00,10603,60,1,Southbound,1,SouthWest,2,Checked
19/12/2023 14:00,10603,60,2,Northbound,2,NorthEast,1,Checked
19/12/2023 15:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 15:00,10603,60,2,Northbound,2,NorthEast,3,Checked
19/12/2023 16:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 16:00,10603,60,2,Northbound,2,NorthEast,2,Checked
19/12/2023 17:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 17:00,10603,60,2,Northbound,2,NorthEast,1,Checked
19/12/2023 18:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 18:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 19:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 19:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 20:00,10603,60,1,Southbound,1,SouthWest,1,Checked
19/12/2023 20:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 21:00,10603,60,1,Southbound,1,SouthWest,1,Checked
19/12/2023 21:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 22:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 22:00,10603,60,2,Northbound,2,NorthEast,0,Checked
19/12/2023 23:00,10603,60,1,Southbound,1,SouthWest,0,Checked
19/12/2023 23:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 00:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 00:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 01:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 01:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 02:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 02:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 03:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 03:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 04:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 04:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 05:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 05:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 06:00,10603,60,1,Southbound,1,SouthWest,1,Checked
20/12/2023 06:00,10603,60,2,Northbound,2,NorthEast,1,Checked
20/12/2023 07:00,10603,60,1,Southbound,1,SouthWest,1,Checked
20/12/2023 07:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 08:00,10603,60,1,Southbound,1,SouthWest,1,Checked
20/12/2023 08:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 09:00,10603,60,1,Southbound,1,SouthWest,1,Checked
20/12/2023 09:00,10603,60,2,Northbound,2,NorthEast,1,Checked
20/12/2023 10:00,10603,60,1,Southbound,1,SouthWest,1,Checked
20/12/2023 10:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 11:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 11:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 12:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 12:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 13:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 13:00,10603,60,2,Northbound,2,NorthEast,1,Checked
20/12/2023 14:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 14:00,10603,60,2,Northbound,2,NorthEast,1,Checked
20/12/2023 15:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 15:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 16:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 16:00,10603,60,2,Northbound,2,NorthEast,1,Checked
20/12/2023 17:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 17:00,10603,60,2,Northbound,2,NorthEast,1,Checked
20/12/2023 18:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 18:00,10603,60,2,Northbound,2,NorthEast,1,Checked
20/12/2023 19:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 19:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 20:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 20:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 21:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 21:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 22:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 22:00,10603,60,2,Northbound,2,NorthEast,0,Checked
20/12/2023 23:00,10603,60,1,Southbound,1,SouthWest,0,Checked
20/12/2023 23:00,10603,60,2,Northbound,2,NorthEast,0,Checked
21/12/2023 00:00,10603,60,1,Southbound,1,SouthWest,0,Checked
21/12/2023 00:00,10603,60,2,Northbound,2,NorthEast,0,Checked
21/12/2023 01:00,10603,60,1,Southbound,1,SouthWest,0,Checked
21/12/2023 01:00,10603,60,2,Northbound,2,NorthEast,0,Checked
21/12/2023 02:00,10603,60,1,Southbound,1,SouthWest,0,Checked
21/12/2023 02:00,10603,60,2,Northbound,2,NorthEast,0,Checked
21/12/2023 03:00,10603,60,1,Southbound,1,SouthWest,0,Checked
21/12/2023 03:00,10603,60,2,Northbound,2,NorthEast,0,Checked
21/12/2023 04:00,10603,60,1,Southbound,1,SouthWest,0,Checked
21/12/2023 04:00,10603,60,2,Northbound,2,NorthEast,0,Checked
21/12/2023 05:00,10603,60,1,Southbound,1,SouthWest,0,Checked
21/12/2023 05:00,10603,60,2,Northbound,2,NorthEast,0,Checked
21/12/2023 06:00,10603,60,1,Southbound,1,SouthWest,1,Checked
21/12/2023 06:00,10603,60,2,Northbound,2,NorthEast,0,Checked
21/12/2023 07:00,10603,60,1,Southbound,1,SouthWest,0,Checked
21/12/2023 07:00,10603,60,2,Northbound,2,NorthEast,0,Checked
21/12/2023 08:00,10603,60,1,Southbound,1,SouthWest,0,Checked
